Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
482,Rail transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,3,1,4,1
483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.857,0,0.857,,4,3,1,2,1
483,Water transportation,methane,"kg/2018 USD, purchaser price",0.003,0,0.003,,4,3,1,1,1
483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.033,0,0.033,,4,3,1,5,1
484,Truck transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.509,0,1.509,,4,3,1,4,1
484,Truck transportation,methane,"kg/2018 USD, purchaser price",0.003,0,0.003,,4,3,1,1,1
484,Truck transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
484,Truck transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0,0.021,,4,3,1,5,1
485,Transit and ground passenger transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.462,0,0.462,,3,3,1,3,1
485,Transit and ground passenger transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,3,1,1,1
485,Transit and ground passenger transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
485,Transit and ground passenger transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.008,0,0.008,,4,3,1,5,1
486,Pipeline transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.548,0,1.548,,4,3,1,1,1
486,Pipeline transportation,methane,"kg/2018 USD, purchaser price",0.032,0,0.032,,4,3,1,1,1
486,Pipeline transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
